N,mode,projection_type,W,recall_at_1,recall_at_5,recall_at_10,mean_rank,mean_margin,p5_margin,mean_gap_ratio,mean_top1_dist,mean_top2_dist,mean_decision_gap,neighbor_recall_at_10,distortion_rate
200,capacity,learned,256,0.91,1.0,1.0,1.11,1.7933554911613465,-0.16946716308593748,1.2340343491080064,8.129042484760284,9.922397975921632,1.8428144812583924,0.78,0.05887994170188904
200,generalization,identity,384,0.95,1.0,1.0,1.05,1.5440561580657959,0.03480687141418458,1.163272995422556,10.046514015197754,11.59057017326355,1.558824396133423,1.0,0.0
200,generalization,random,32,0.62,0.9366666666666665,0.9766666666666666,0.0,0.044349437355995176,-0.12218732138474782,0.0,0.0,0.0,0.08233664770921072,0.616,0.003707025432959199
200,generalization,svd,32,0.82,0.99,1.0,1.38,0.15887855529785155,-0.10653190016746521,1.1166696181914455,1.5503359365463256,1.7092144918441772,0.18465199708938598,0.6989999999999997,0.03868284076452255
200,generalization,learned,32,0.87,1.0,1.0,1.15,0.21933125436306,-0.026260060071945184,1.3105993711096253,0.8767482596635818,1.096079514026642,0.232015922665596,0.6639999999999999,0.0462966151535511
200,generalization,random,64,0.8333333333333334,0.9966666666666667,1.0,0.0,0.18352490027745563,-0.0812177836894989,0.0,0.0,0.0,0.20790582577387492,0.6866666666666666,0.00275963032618165
200,generalization,svd,64,0.9,1.0,1.0,1.11,0.4376647400856018,-0.08746267557144165,1.1744322152827111,2.599006588459015,3.0366713285446165,0.4560059356689453,0.767,0.020822444930672646
200,generalization,learned,64,0.87,1.0,1.0,1.26,0.4211194825172424,-0.16838057041168214,1.2338300870153558,1.9369798839092254,2.358099366426468,0.4542940354347229,0.705,0.04622814059257507
200,generalization,random,128,0.8933333333333334,0.9966666666666667,1.0,0.0,0.4273187486330668,-0.09333275159200032,0.0,0.0,0.0,0.4476936666170756,0.7516666666666666,0.0022860340929279723
200,generalization,svd,128,0.93,1.0,1.0,1.07,0.7645012474060059,-0.038596916198730465,1.1810975952030096,4.4845378828048705,5.2490391302108765,0.7794158458709717,0.8250000000000002,0.006111373193562031
200,generalization,learned,128,0.9,1.0,1.0,1.12,0.9191405868530274,-0.1281358242034912,1.254286132844995,3.8953403067588805,4.814480893611908,0.9505771732330323,0.73,0.044096723198890686
200,generalization,random,256,0.94,1.0,1.0,0.0,0.9509003194173177,-0.020817486445109043,0.0,0.0,0.0,0.9738475974400838,0.8023333333333335,0.0017636260017752647
200,generalization,svd,256,0.92,1.0,1.0,1.08,1.0857311391830444,-0.047311329841613764,1.1525880330437346,7.401771821975708,8.487502961158752,1.0989128065109253,0.773,0.007078377529978752
200,generalization,learned,256,0.92,1.0,1.0,1.14,2.0045466947555544,-0.18029279708862303,1.2737566201896202,7.906456670761108,9.911003365516663,2.050614037513733,0.7419999999999999,0.044858310371637344
400,capacity,identity,384,0.925,1.0,1.0,1.0925,1.3083906269073486,-0.13271808624267575,1.1385709448992367,10.17605831861496,11.484448945522308,1.3458397722244262,1.0,0.0
400,capacity,random,32,0.5225,0.8183333333333334,0.9033333333333333,0.0,0.01106575553615888,-0.15392860372861225,0.0,0.0,0.0,0.06432188779115677,0.6098333333333333,0.004064793310438593
400,capacity,svd,32,0.775,0.985,0.995,1.455,0.14121199369430543,-0.09332020878791808,1.0906109014082532,1.6869518184661865,1.828163812160492,0.16468745350837707,0.7525,0.05245593190193176
400,capacity,learned,32,0.77,0.995,1.0,1.41,0.10845584109425545,-0.1798798620700836,1.1117092231648689,1.0720029751956464,1.1804588162899017,0.15548095867037773,0.6980000000000001,0.06435583531856537
